ChrSy	PF00075
ChrSy	PF00078
ChrSy	PF00092
ChrSy	PF00097
ChrSy	PF00098
ChrSy	PF00112
ChrSy	PF00118
ChrSy	PF00156
ChrSy	PF00331
ChrSy	PF00335
ChrSy	PF00385
ChrSy	PF00449
ChrSy	PF00547
ChrSy	PF00571
ChrSy	PF00654
ChrSy	PF00665
ChrSy	PF00699
ChrSy	PF00724
ChrSy	PF00892
ChrSy	PF00931
ChrSy	PF01329
ChrSy	PF01979
ChrSy	PF02517
ChrSy	PF02992
ChrSy	PF03732
ChrSy	PF04043
ChrSy	PF04094
ChrSy	PF04195
ChrSy	PF05754
ChrSy	PF07197
ChrSy	PF07714
ChrSy	PF07727
ChrSy	PF08284
ChrSy	PF08583
ChrSy	PF10536
ChrUn	PF00069
ChrUn	PF00075
ChrUn	PF00076
ChrUn	PF00078
ChrUn	PF00098
ChrUn	PF00176
ChrUn	PF00254
ChrUn	PF00271
ChrUn	PF00385
ChrUn	PF00462
ChrUn	PF00665
ChrUn	PF00724
ChrUn	PF00743
ChrUn	PF00891
ChrUn	PF00931
ChrUn	PF01609
ChrUn	PF02902
ChrUn	PF02992
ChrUn	PF03018
ChrUn	PF03080
ChrUn	PF03108
ChrUn	PF03578
ChrUn	PF03732
ChrUn	PF04094
ChrUn	PF04195
ChrUn	PF05078
ChrUn	PF05754
ChrUn	PF07197
ChrUn	PF07645
ChrUn	PF07727
ChrUn	PF08100
ChrUn	PF08284
ChrUn	PF09110
ChrUn	PF09111
ChrUn	PF09322
ChrUn	PF10536
ChrUn	PF10551
LOC_Os01g01010	PF00566
LOC_Os01g01030	PF00394
LOC_Os01g01030	PF07731
LOC_Os01g01030	PF07732
LOC_Os01g01050	PF01424
LOC_Os01g01060	PF00177
LOC_Os01g01070	PF07889
LOC_Os01g01080	PF00282
LOC_Os01g01090	PF04195
LOC_Os01g01100	PF00078
LOC_Os01g01100	PF00665
LOC_Os01g01110	PF00069
LOC_Os01g01115	PF01535
LOC_Os01g01150	PF00076
LOC_Os01g01150	PF00630
LOC_Os01g01160	PF00226
LOC_Os01g01180	PF11820
LOC_Os01g01190	PF04185
LOC_Os01g01200	PF04195
LOC_Os01g01230	PF04195
LOC_Os01g01240	PF00078
LOC_Os01g01240	PF00385
LOC_Os01g01240	PF00665
LOC_Os01g01240	PF03732
LOC_Os01g01240	PF08284
LOC_Os01g01250	PF04094
